"No.","Time","Source","Destination","Protocol","Length","Time to Live","Source Port","Destination Port","Info"
"534","13.655147","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=117588 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"535","13.655155","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=119048 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"536","13.655162","192.168.88.128","192.168.88.1","TPKT","407","128","3389","33611","Continuation"
"537","13.655550","192.168.88.1","192.168.88.128","TCP","54","128","33611","3389","33611  >  3389 [ACK] Seq=8457 Ack=84429 Win=131328 Len=0"
"538","13.655593","192.168.88.1","192.168.88.128","TCP","54","128","33611","3389","33611  >  3389 [ACK] Seq=8457 Ack=97511 Win=131328 Len=0"
"539","13.655633","192.168.88.1","192.168.88.128","TCP","54","128","33611","3389","33611  >  3389 [ACK] Seq=8457 Ack=111748 Win=131328 Len=0"
"540","13.655671","192.168.88.1","192.168.88.128","TCP","54","128","33611","3389","33611  >  3389 [ACK] Seq=8457 Ack=120861 Win=131328 Len=0"
"541","13.655799","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=120861 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"542","13.655811","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=122321 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"543","13.655818","192.168.88.128","192.168.88.1","TPKT","1267","128","3389","33611","Continuation"
"544","13.656515","192.168.88.1","192.168.88.128","TCP","54","128","33611","3389","33611  >  3389 [ACK] Seq=8457 Ack=124994 Win=131328 Len=0"
"545","13.656812","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=124994 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"546","13.656820","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=126454 Ack=8457 Win=64256 Len=1460 [TCP segment of a reassembled PDU]"
"547","13.656825","192.168.88.128","192.168.88.1","TPKT","323","128","3389","33611","Continuation"
"548","13.657383","192.168.88.1","192.168.88.128","TCP","54","128","33611","3389","33611  >  3389 [ACK] Seq=8457 Ack=128183 Win=131328 Len=0"
"549","13.737842","192.168.88.1","192.168.88.128","TPKT","491","128","33611","3389","Continuation"
"550","13.739266","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=128183 Ack=8894 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
"551","13.739277","192.168.88.128","192.168.88.1","TCP","1514","128","3389","33611","3389  >  33611 [ACK] Seq=129643 Ack=8894 Win=65536 Len=1460 [TCP segment of a reassembled PDU]"
